,,,Political Finance Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,ISO2,ISO3,Bans and limits on private income>1. Is there a ban on donations from foreign interests to political parties?,Bans and limits on private income>2. Is there a ban on donations from foreign interests to candidates?,Bans and limits on private income>3. Is there a ban on corporate donations to political parties?,Bans and limits on private income>4. Is there a ban on corporate donations to candidates?,Bans and limits on private income>5. Is there a ban on donations from Trade Unions to political parties?,Bans and limits on private income>6. Is there a ban on donations from Trade Unions to candidates?,Bans and limits on private income>7. Is there a ban on anonymous donations to political parties?,Bans and limits on private income>8. Is there a ban on anonymous donations to candidates?,Bans and limits on private income>9. Is there a ban on donations from corporations with government contracts to political parties?,Bans and limits on private income>10. Is there a ban on donations from corporations with government contracts to candidates?,Bans and limits on private income>11. Is there a ban on donations from corporations with partial government ownership to political parties?,Bans and limits on private income>12. Is there a ban on donations from corporations with partial government ownership to candidates?,Bans and limits on private income>13. Is there a ban on the use of state resources in favour or against a political party or candidate?,Bans and limits on private income>14. Is there a limit on the amount a donor can contribute to a political party during a non-election specific period?,"Bans and limits on private income>15. If there is a limit on the amount a donor can contribute to a political party during a non-election specific period, what is the limit?",Bans and limits on private income>16. Is there a limit on the amount a donor can contribute to a political party during an election?,"Bans and limits on private income>17. If there is a limit on the amount a donor can contribute to a political party during an election, what is the limit?",Bans and limits on private income>18. Is there a limit on the amount a donor can contribute to a candidate?,"Bans and limits on private income>19. If there is a limit on the amount a donor can contribute to a candidate, what is the limit?",Bans and limits on private income>20. Is there a limit on the amount a candidate can contribute to their own election campaign?,Bans and limits on private income>21. Is there a limit on in-kind donations to political parties?,Bans and limits on private income>22. Is there a limit on in-kind donations to candidates?,Bans and limits on private income>23. Is there a ban on political parties engaging in commercial activities?,Bans and limits on private income>24. Is there a ban on political parties taking loans in relation to election campaigns?,Bans and limits on private income>25. Is there a ban on candidates taking loans in relation to election campaigns?,Bans and limits on private income>26. Is there a ban on donors to political parties/candidates participating in public tender/procurement processes?,Bans and limits on private income>27. Are there provisions requiring donations to go through the banking system?,Public funding>28. Are there provisions for direct public funding to political parties?,Public funding>29. What are the eligibility criteria for political parties to receive public funding?,Public funding>30. What is the allocation calculation for political parties to receive public funding?,Public funding>31. What are the provisions on 'ear marking' direct public funding to political parties (how it should be used)?,Public funding>32. Are there provisions for free or subsidized access to media for political parties?,Public funding>33. What criteria determine allocation for free or subsidized access to media for political parties?,Public funding>34. Are there provisions for free or subsidized access to media for candidates?,Public funding>35. Are there provisions for any other form of indirect public funding?,Public funding>36. Is the provision of direct public funding to political parties tied to gender equality among candidates?,Public funding>37. Are there provisions for other financial advantages to encourage gender equality in political parties?,Regulations of spending>38. Is there a ban on vote buying?,Regulations of spending>39. Are there limits on the amount a political party can spend?,"Regulations of spending>40. If there are limits on the amount a political party can spend, what is the limit?",Regulations of spending>41. Are there limits on the amount a candidate can spend?,"Regulations of spending>42. If there are limits on the amount a candidate can spend, what is the limit?",Regulations of spending>43. Are there limits on the amount that third parties can spend on election campaign activities?,Regulations of spending>44. Are there limits on traditional media advertising spending in relation to election campaigns?,Regulations of spending>45. Are there limits on online media advertising spending in relation to election campaigns?,Regulations of spending>46. Do any other restrictions on online media advertisement (beyond limits) exist?,"Reporting, oversight and sanctions>47. Do political parties have to report regularly on their finances?","Reporting, oversight and sanctions>48. Do political parties have to report on their election campaign finances?","Reporting, oversight and sanctions>49. Do candidates have to report on their election campaign finances?","Reporting, oversight and sanctions>50. Do third parties have to report on election campaign finances?","Reporting, oversight and sanctions>51. Is information in reports from political parties and/or candidates to be made public?","Reporting, oversight and sanctions>52. Must reports from political parties and/or candidates reveal the identity of donors?","Reporting, oversight and sanctions>53. Must reports from political parties and/or candidates include information on itemized income?","Reporting, oversight and sanctions>54. Must reports from political parties and/or candidates include information on itemized spending?","Reporting, oversight and sanctions>55. Which institution(s) receives financial reports from political parties and/or candidates?","Reporting, oversight and sanctions>56. Which institution(s) is responsible for examining financial reports and/or investigating violations?","Reporting, oversight and sanctions>57. What power is granted to the institution(s) responsible for examining reports and/or investigating violations?","Reporting, oversight and sanctions>58. What sanctions are provided for political finance infractions?"
Antigua and Barbuda,AG,ATG,No,No,No,No,No,No,"Yes, above certain threshold",No,No,No,No,No,Yes,No,Not applicable,No,Not applicable,No,Not applicable,No,No,No,No,No,No,No,No,No public funding available,Not applicable,Not applicable,Not applicable,Yes,Equal,Yes,Yes,Not applicable,No,Yes,No,Not applicable,No,Not applicable,"Yes, third parties banned from campaign spending",No,No,No,No,Yes,No,Third parties are banned from participating in campaigns,No,Sometimes,Yes,No,EMB,EMB,Request additional information from potential violator Impose sanctions,Fines Loss of political rights Loss of elected office
Argentina,AR,ARG,Yes,Not applicable,Yes,Not applicable,Yes,Not applicable,Yes,Not applicable,Yes,Not applicable,Yes,Not applicable,No,"Yes, for both natural and legal persons","For juridical persons, not above 1% of the total spending allowed and, for natural persons, not above the 2% of the total spending allowed, out of the annual limit on campaign.","Yes, for both natural and legal persons",A Political party cannot receive private contributions that exceed the difference between the limit for campaign expenses and the public funding that received for that purpose.,Not applicable,Not applicable,No,Yes,Not applicable,No,No,No,No,Yes,"Yes, both regularly and in relation to campaigns",Other,Equal Proportional to votes received,Campaign spending Ongoing party activities Research and policy initiatives,Yes,Equal Number of candidates Other,Not applicable,Yes,No,"Yes, funds earmarked for gender activities",Yes,Yes,The flat rate equals to the amount of an index included in the annual budget of the country,Not applicable,Not applicable,"Yes, third parties banned from campaign spending",Yes,"Yes, for political parties Yes, for candidates Yes, for third parties",Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,Yes,Yes,EMB,EMB,Impose sanctions,Fines Loss of public funding Loss of political rights
Bahamas,BS,BHS,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Not applicable,No,Not applicable,No,Not applicable,No,No,No,No,No,No,No,No,No public funding available,Not applicable,Not applicable,Not applicable,No,Not applicable,No,No,No,No,Yes,No,Not applicable,No,Not applicable,No,No,No,No,No,No,No,No,No,No,No,No,No Institution specified,No institution specified,Not applicable,Prison Loss of political rights Loss of elected office
Barbados,BB,BRB,No,No,No,No,No,No,No,Yes,No,No,No,No,No data,No,Not applicable,No,Not applicable,No,Not applicable,No,No,No,No,No,No,No,No,No public funding available,Not applicable,Not applicable,Not applicable,Yes,Number of candidates Other,No,Yes,No,No,Yes,No,Not applicable,Yes,"The spending limit for the candidate depends on the constituency. The limit is calculated at the rate of10 BBD in respect of each registered elector in the constituency. For example, in the City of Bridgetown constituency the limit is 69,150 BBD (6,915 electors * 10 BBD). Additionally, a candidate has a right to cover own personal expenses related to the elections up to 50 BBD. This amount is not included in the candidate's overall spending limit.","Yes, spending limit exists","Yes, for political parties Yes, for candidates",No,No,No,No,Yes,No,Sometimes,Sometimes,Yes,Yes,EMB,EMB,Carry out investigation,Fines Prison Loss of elected office
Belize,BZ,BLZ,No,No,No,No,No,No,No,No,No,No,No,No,No data,No,Not applicable,No,Not applicable,No,Not applicable,No,No,No,No,No,No,No,No,No public funding available,Not applicable,Not applicable,Not applicable,No,Not applicable,No,No,Not applicable,No,Yes,No,Not applicable,No,Not applicable,No,No,No,No,No,No,No,No,No,No,No,No,No Institution specified,No institution specified,No data,Not applicable
Bolivia,BO,BOL,Yes,Yes,No,No,No,No data,Yes,No,Yes,No data,Yes,Yes,Yes,"Yes, for both natural and legal persons",Not more than 10% of the annual party budget,"Yes, for both natural and legal persons",10% of the general budget for both the campaign or political party finances,"Yes, for both natural and legal persons",10% of the general budget for the campaign,"Yes, donation limit for private persons apply",Yes,Yes,No,No data,No data,No data,No data,"Yes, both regularly and in relation to campaigns",Participation in election Registration as a political party,Equal Proportional to votes received,No,Yes,Equal Votes Received,Yes,Yes,No,No data,Yes,No,Not applicable,No,Not applicable,No,"Yes, for political parties",No,No,Yes,Yes,No,No,No,Yes,No data,No,EMB,Ministry Auditing agency,Other,Fines Prison Loss of nomination of candidate Loss of political rights Other
Brazil,BR,BRA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Yes, for natural persons",10% of the profits earned by the donor in the previous year,"Yes, for natural persons",10% of declared income per annum for individual donors,"Yes, for natural persons",10% of declared income for individual donors,"Yes, specific limit for candidates",No,No,Yes,No,No,Yes,Yes,"Yes, both regularly and in relation to campaigns",Representation in elected body Share of seats in previous election Other,Equal Proportional to votes received Proportional to seats received,Campaign spending Ongoing party activities Intra-party institution,Yes,Share of seats Other,Yes,Yes,Yes,"Yes, funds earmarked for gender activities",Yes,Yes,Minimum 5% and maximum 15% of the value destined to finance campaigns reserved in bank accounts for this purpose,Yes,Varies according to office contested,No,"Yes, for political parties Yes, for candidates",No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,EMB,EMB,Carry out investigation Request additional information from potential violator Request additional information from others,Fines Loss of public funding Deregistration of party Loss of nomination of candidate Loss of elected office
Chile,CL,CHL,Yes,Yes,Yes,Yes,Yes,Yes,"Yes, above certain threshold","Yes, above certain threshold",Yes,Yes,Yes,Yes,Yes,"Yes, for natural persons","300 indexed units/ per year ( non members), 500 indexed units/ per year ( members)","Yes, for natural persons","500 indexed unit per person, in the case of presidential election","Yes, for natural persons",Depending on type of candidate,"Yes, specific limit for candidates",Yes,Yes,Yes,No,No,No,Yes,"Yes, both regularly and in relation to campaigns",Representation in elected body Share of votes in previous election Participation in election Registration as a political party,Flat rate by votes received,Ongoing party activities Intra-party institution,Yes,Equal Votes Received,Yes,Yes,Yes,"Yes, funds earmarked for gender activities Other",Yes,Yes,Varía según la elección,Yes,"Varies from office to office, but in every case is set according to a formula","Yes, spending limit for party/candidate includes spending by other on their behalf","Yes, for political parties Yes, for candidates Yes, for third parties",No,No,Yes,Yes,Yes,No,Yes,Sometimes,Yes,Yes,EMB,EMB,Refer for investigation Carry out investigation Request additional information from potential violator Request additional information from others,Fines Prison Deregistration of party Suspension of political party
Colombia,CO,COL,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Not applicable,"Yes, for both natural and legal persons",10% of the total amount of expenses in the campaign is the limit for individual contributions to that campaign.,"Yes, for both natural and legal persons","In non-presidential campaigns, for individual contributions, the limit amount is 10% of spending limit, with the exception of the candidate and close relatives. In presidential campaigns, for natural persons, 2% of the spending limit (if the contribution is from the candidate or close relatives -up to fourth degree of consanguinity- up to 4%).","Yes, specific limit for candidates",No,No,No,Sometimes,Sometimes,Yes,Yes,"Yes, both regularly and in relation to campaigns",Share of votes in previous election Share of seats in previous election Registration as a political party Other,Equal Proportional to votes received Number of members,Campaign spending Ongoing party activities Intra-party institution Research and policy initiatives,Yes,Equal Share of seats,Yes,Yes,Yes,"Yes, funds earmarked for gender activities Other",Yes,Yes,"Limits on campaign spending change for each election, and are imposed to the campaign. For 2022, they are: $96.215.827.231 (for Senate – ordinary electoral district), $2.886.474.816 (for Senate – indigenous special electoral district), between $1.506.613.332 and $20.093.516.658 (for Representative Chambers, according to the number of voters) Source: Resolución No. 0227 de 2021 And for Presidential Candidates: $ 27.453.094.557 (first round), $ 12.840.703.931 (run-off) Resolución No. 1677 de 2021",Yes,"Limits on campaign spending change for each election, and are imposed to the campaign. For 2022, they are: $96.215.827.231 (for Senate – ordinary electoral district), $2.886.474.816 (for Senate – indigenous special electoral district), between $1.506.613.332 and $20.093.516.658 (for Representative Chambers, according to the number of voters) Source: Resolución No. 0227 de 2021 And for Presidential Candidates: $ 27.453.094.557 (first round), $ 12.840.703.931 (run-off) Resolución No. 1677 de 2021",No,"Yes, for political parties Yes, for candidates",No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,EMB,EMB,Carry out investigation Request additional information from potential violator Request additional information from others Impose sanctions,Fines Prison Forfeiture Loss of public funding Deregistration of party Loss of nomination of candidate Loss of political rights Loss of elected office Suspension of political party Other Suspension of public funding
Costa Rica,CR,CRI,Yes,Not applicable,Yes,Not applicable,Yes,Not applicable,Yes,Not applicable,Yes,Not applicable,Yes,Not applicable,Yes,No,Not applicable,No,Not applicable,Not applicable,Not applicable,Not applicable,No,Not applicable,Yes,No,Not applicable,No,No,"Yes, both regularly and in relation to campaigns",Representation in elected body Share of votes in previous election,Proportional to votes received Other,Campaign spending Ongoing party activities Intra-party institution Research and policy initiatives,No,Votes Received,Not applicable,No,Yes,No,No,No,Not applicable,Not applicable,Not applicable,No,No,No,No,Yes,Yes,Not applicable,No,Yes,Yes,Yes,Yes,EMB Special agency for political finance,EMB Special agency for political finance,Refer for investigation Carry out investigation Impose sanctions,Fines Loss of public funding
Dominica,DM,DMA,No,No,No,No,No,No,No,No,No data,No data,No data,No data,Yes,No,Not applicable,No,Not applicable,No,Not applicable,No,No,No,No,No,No,No data,No,No public funding available,Not applicable,Not applicable,Not applicable,No,Not applicable,No,No,No,No,Yes,No,Not applicable,No,Not applicable,No,No,No,No,No,No,No,No,Not applicable,Not applicable,Not applicable,Not applicable,No Institution specified,EMB,Carry out investigation,Fines Prison Loss of nomination of candidate Loss of political rights Other
Dominican Republic,DO,DOM,Yes,No,Yes,No,No,No,Yes,No,Yes,No,Yes,No,Yes,"Yes, for natural persons",Maximum 1% of allocated public funds,"Yes, for natural persons",Maximum 1% of the total established spending limit for each type of election,"Yes, for natural persons",Maximum 1% of the total spending limit for every public office election,"Yes, donation limit for private persons apply",Yes,No,No,No,No,No,Yes,"Yes, both regularly and in relation to campaigns",Share of votes in previous election,Equal Proportional to votes received,Campaign spending Ongoing party activities Intra-party institution,Yes,Equal Number of candidates,Yes,No,No,No,Yes,Yes,It depends on the office,Yes,Depends on office contested.,"Yes, spending limit exists","Yes, for political parties Yes, for candidates Yes, for third parties","Yes, for political parties Yes, for candidates Yes, for third parties",Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,EMB,EMB,Refer for investigation Impose sanctions,Fines Loss of public funding Deregistration of party Suspension of public funding
